wavelength calibrated_flux flux_var
3777.934265615314 4.804105955713253e-18 9.836199778481239e-36
3779.9878201017086 1.5358658193302502e-18 8.782500471977793e-36
3782.0413745881033 2.6412994157778508e-19 8.702303080404579e-36
3784.094929074498 -6.760105086166002e-19 8.825234264913468e-36
3786.1484835608926 2.132787204984361e-18 7.990083588317834e-36
3788.2020380472873 2.4174503933800552e-18 8.458537707499742e-36
3790.255592533682 -1.8266927333199723e-19 8.138212449135126e-36
3792.309147020077 2.5315086066805133e-18 7.792518472034112e-36
3794.3627015064717 3.2965661206094564e-18 8.065221931177086e-36
3796.4162559928664 -2.5981685135286665e-18 7.801117351196348e-36
3798.469810479261 1.3826950476809205e-18 7.167764259177191e-36
3800.5233649656557 4.9336437404788374e-18 7.171926518984028e-36
3802.5769194520503 -2.305838964257952e-18 6.826279713376793e-36
3804.630473938445 -8.654789354377887e-19 7.317157361830897e-36
3806.6840284248397 7.46782447511102e-19 7.094370446532989e-36
3808.7375829112343 -4.507576740994957e-18 6.848938666090815e-36
3810.791137397629 3.2644293015780253e-18 6.18545613254345e-36
3812.8446918840236 -2.6489357127019874e-18 6.632430666067597e-36
3814.8982463704183 -8.737958456246336e-19 6.250494970764246e-36
3816.951800856813 4.838464057240943e-18 6.039449077538342e-36
3819.005355343208 4.183741667480456e-21 6.111356149422525e-36
3821.0589098296027 -2.8836789590066184e-21 5.304316284716949e-36
3823.1124643159974 -3.467878591632443e-18 5.768181811995793e-36
3825.166018802392 -1.6484525809396894e-18 5.487505958595142e-36
3827.2195732887867 -2.6626437428076035e-19 5.5909797615471e-36
3829.2731277751814 2.695156890781475e-18 6.11778574751504e-36
3831.326682261576 2.2172613767007005e-18 6.295532906104772e-36
3833.3802367479707 1.8823676702354667e-18 6.218546110407845e-36
3835.4337912343653 1.4248630217561594e-18 5.7618232195071145e-36
3837.48734572076 3.972541377637878e-18 5.404281478789026e-36
3839.5409002071547 -9.813434152920918e-19 5.189701459245168e-36
3841.5944546935493 -3.531862518915075e-18 5.7910775778143495e-36
3843.648009179944 2.727767883970527e-18 5.269172960741133e-36
3845.7015636663386 -9.394146587845781e-19 5.0918750503565795e-36
3847.7551181527333 -2.706849804085436e-18 5.4741813606990694e-36
3849.8086726391284 5.505151954356575e-19 5.1284996254549756e-36
3851.862227125523 -2.3354324287772863e-18 5.121033027172449e-36
3853.9157816119177 1.6450601190835429e-18 5.2853296881243274e-36
3855.9693360983124 1.2283182846377341e-18 4.660857129427095e-36
3858.022890584707 3.4043933795687397e-18 4.77757242412706e-36
3860.0764450711017 4.288797806821328e-18 4.9141863642040454e-36
3862.1299995574964 5.084043787167702e-19 4.5909896101484745e-36
3864.183554043891 1.2761488811305949e-18 4.545413622316949e-36
3866.2371085302857 -1.177987341160588e-19 4.605915534093935e-36
3868.2906630166804 1.0293506009744017e-18 4.604445702450649e-36
3870.344217503075 2.7478633767175075e-18 4.235459629446033e-36
3872.3977719894697 1.9986229821505793e-18 4.209321946662799e-36
3874.4513264758643 1.4882277074190837e-18 4.4917279004717986e-36
3876.504880962259 1.5482589019000124e-18 4.796102743266916e-36
3878.5584354486537 2.3076887934199845e-19 4.679261362628264e-36
3880.6119899350488 1.8983615471176386e-18 4.633022508706586e-36
3882.6655444214434 1.7195097532357854e-19 4.777346939101709e-36
3884.719098907838 4.314782844744159e-18 5.2130289183762e-36
3886.7726533942327 -1.0250630696130194e-18 8.281225124900048e-36
3888.8262078806274 3.860226374025318e-18 1.0236904984447144e-35
3890.879762367022 1.0642649249011316e-19 9.433660752470967e-36
3892.9333168534167 -1.7262036883868643e-18 6.878064970637769e-36
3894.9868713398114 2.567903843374972e-18 4.8341457106437146e-36
3897.040425826206 4.0466605862493497e-19 4.8814717691120476e-36
