wavelength calibrated_flux flux_var
3711.5237974841625 1.773364879673586e-17 1.135991244909934e-35
3713.575387799178 1.560110355352829e-17 1.0631158463630326e-35
3715.6269781141937 1.8337834942339914e-17 1.0448039870442257e-35
3717.6785684292095 1.8359974123745755e-17 1.0977564725526246e-35
3719.730158744225 1.6425828219691115e-17 8.624354909194136e-36
3721.7817490592406 1.728319924524702e-17 8.809181653899705e-36
3723.8333393742564 1.535258317814621e-17 8.955755269980798e-36
3725.884929689272 1.7390481500847245e-17 1.007891114907855e-35
3727.9365200042876 1.641062800155113e-17 9.178729217810048e-36
3729.9881103193034 1.8954291182662558e-17 1.1267737102642928e-35
3732.039700634319 1.9326620302854243e-17 1.1585902716076844e-35
3734.0912909493345 1.943818820584116e-17 1.080415400821631e-35
3736.1428812643503 1.7700625981305188e-17 1.1197096240649655e-35
3738.194471579366 1.735153313182661e-17 1.0816928551682203e-35
3740.2460618943815 1.9602299717767754e-17 1.2052764089406424e-35
3742.2976522093973 1.7809280370041693e-17 1.1861714170898014e-35
3744.349242524413 1.6787179722797403e-17 9.659703183527285e-36
3746.4008328394284 1.4040786889825278e-17 8.932761209772192e-36
3748.452423154444 1.4597732660902003e-17 8.40819065574852e-36
3750.50401346946 1.6986554413306408e-17 8.691564156875291e-36
3752.5556037844754 1.6002580516332816e-17 7.618970188555791e-36
3754.607194099491 1.516849083656822e-17 7.881878744825278e-36
3756.658784414507 1.3748373260005783e-17 7.078889290692574e-36
3758.7103747295223 1.2390983385960897e-17 6.838863435868126e-36
3760.761965044538 1.3256849299920565e-17 6.533918553388597e-36
3762.813555359554 1.1578947865562854e-17 6.246975233139651e-36
3764.8651456745692 1.259328170382771e-17 5.7583119841225376e-36
3766.916735989585 1.2353665552323054e-17 5.944159618932875e-36
3768.968326304601 1.1731759279548671e-17 5.531098364068284e-36
3771.0199166196167 1.2680299560551568e-17 5.816182486103834e-36
3773.071506934632 1.0719868914023732e-17 6.203294588949129e-36
3775.123097249648 1.4002982098877097e-17 6.544551074016007e-36
3777.1746875646636 1.1328006434394729e-17 5.562224528277361e-36
3779.226277879679 1.4436574109325148e-17 6.342844662084889e-36
3781.2778681946947 1.4715171542653704e-17 6.48048026764354e-36
3783.3294585097105 1.3187359789700673e-17 5.573980202350885e-36
3785.381048824726 1.0658616797314178e-17 4.988989245552256e-36
3787.4326391397417 1.2718857471989408e-17 5.279521416200144e-36
3789.4842294547575 1.3123913320517093e-17 5.5555412220834196e-36
3791.535819769773 1.4286085836784014e-17 5.834837255540289e-36
3793.5874100847886 1.2214756623320465e-17 5.327887713035457e-36
3795.6390003998044 1.1708905345795236e-17 5.018027357490879e-36
3797.6905907148202 1.0310199883441882e-17 4.536625089196292e-36
3799.7421810298356 1.1180986437656667e-17 4.414585481328174e-36
3801.7937713448514 1.073584876620582e-17 4.225542621503332e-36
3803.845361659867 9.01691420745892e-18 3.9952887518150256e-36
3805.8969519748825 1.0527858870589203e-17 4.1378760589312865e-36
3807.9485422898983 1.2199718061037993e-17 4.5653227006270914e-36
3810.000132604914 8.940821081920746e-18 3.5458173278539614e-36
3812.0517229199295 1.0537444204667292e-17 4.537023356908533e-36
3814.1033132349453 1.1009049217085588e-17 4.3302883056462805e-36
3816.154903549961 9.770858463558631e-18 4.313916236496218e-36
3818.2064938649764 1.1257061547025198e-17 4.8437616322167285e-36
3820.2580841799922 1.1416188362630709e-17 4.566987040702961e-36
3822.309674495008 1.0787979816697644e-17 4.255489319891889e-36
3824.3612648100234 1.0286810302250344e-17 4.0805633961339224e-36
3826.412855125039 1.1197677889277909e-17 4.63343956504168e-36
3828.464445440055 1.0950934898340488e-17 5.094617150904218e-36
3830.5160357550703 9.558602404093911e-18 4.8661064611307e-36
3832.567626070086 1.1029992991336222e-17 5.122773250957641e-36
3834.619216385102 1.1230115520449325e-17 4.972628352560637e-36
3836.6708067001173 9.879342169485862e-18 4.3503212565982286e-36
3838.722397015133 1.1285367845546201e-17 4.472616123845974e-36
3840.773987330149 8.318530820487465e-18 3.785745273296206e-36
3842.8255776451647 1.0254421671469273e-17 4.051130297034354e-36
3844.87716796018 9.851239574889096e-18 3.954662183442197e-36
3846.928758275196 1.0042312789569028e-17 3.8210245384729095e-36
3848.9803485902116 8.463701260165848e-18 3.5283067749177905e-36
3851.031938905227 8.966307945806575e-18 3.392969877480848e-36
3853.083529220243 8.783035448208216e-18 3.190069594326489e-36
3855.1351195352586 9.650714099288132e-18 3.336908781332937e-36
3857.186709850274 7.34256331859127e-18 2.8874809319421167e-36
3859.2383001652897 7.33185526218799e-18 2.6443649752361996e-36
3861.2898904803055 8.713705970010106e-18 3.0021268478788374e-36
3863.341480795321 8.13255830552592e-18 2.6266642009926742e-36
3865.3930711103367 8.983070158614032e-18 2.9249048115903005e-36
3867.4446614253525 8.206235397312548e-18 2.649097491442938e-36
3869.4962517403683 8.28982047092761e-18 2.4677102325762944e-36
3871.5478420553836 6.224217014738439e-18 2.1530680617783096e-36
3873.5994323703994 8.287978323708164e-18 2.5798916479900088e-36
3875.6510226854152 7.132677495652236e-18 2.2121675093834246e-36
3877.7026130004306 8.729091509699132e-18 2.4037176773425375e-36
3879.7542033154464 7.0931900101555e-18 2.1693804462904815e-36
3881.805793630462 5.96892257934073e-18 2.1250370420848373e-36
3883.8573839454775 6.711489793447045e-18 1.9804422331670752e-36
3885.9089742604933 6.929540257829683e-18 2.1240356835147277e-36
3887.960564575509 8.71248725457953e-18 2.3254258386561623e-36
3890.0121548905245 5.874744089593386e-18 2.0127429070950474e-36
3892.0637452055403 5.675297903823847e-18 2.004315667801857e-36
3894.115335520556 7.921922260139856e-18 2.202372804746696e-36
3896.1669258355714 6.4569972117611076e-18 2.1395422302300826e-36
3898.218516150587 6.150289787622499e-18 2.0142789673193212e-36
3900.270106465603 7.237041667609534e-18 2.3262485191568795e-36
3902.3216967806184 8.639879331813793e-18 2.60836849110358e-36
3904.373287095634 7.094408546965838e-18 2.8795629988794197e-36
3906.42487741065 7.318882007670962e-18 2.829269965991283e-36
3908.4764677256653 9.808259129080508e-18 3.394023519336141e-36
3910.528058040681 7.372407656494491e-18 2.9794592001592142e-36
